species_name,inat_common
Goodyera pubescens,downy rattlesnake plantain
Goodyera repens,lesser rattlesnake plantain
Goodyera tesselata,checkered rattlesnake plantain
Isotria medeoloides,Small Whorled Pogonia
Isotria verticillata,Large Whorled Pogonia
Liparis liliifolia,large twayblade
Liparis loeselii,fen orchid
Malaxis bayardii,Appalachian adder's-mouth
Malaxis brachypoda,White Adder's-mouth
Malaxis unifolia,green adder's-mouth
Neottia bifolia,Southern Twayblade
Neottia convallarioides,Broad-lipped Twayblade
Neottia cordata,Heartleaf Twayblade
Platanthera aquilonis,north wind bog orchid
Platanthera blephariglottis,White-fringed Orchid
Platanthera ciliaris,orange-fringed orchid
Platanthera clavellata,small green wood orchid
Platanthera cristata,orange crested orchid
Platanthera dilatata,white bog orchid
Platanthera flava,pale green orchid
Platanthera grandiflora,Greater Purple Fringed Orchid
Platanthera hookeri,Hooker's Orchid
Platanthera huronensis,green bog orchid
Platanthera lacera,ragged fringed orchid
Platanthera macrophylla,Large-leaved Bog Orchid
Platanthera obtusata,Blunt-leaved Rein Orchid
Platanthera orbiculata,Round-leaved Bog Orchid
Platanthera psycodes,Lesser Purple Fringed Orchid
Pogonia ophioglossoides,Rose Pogonia
Spiranthes arcisepala,Appalachian ladies’ tresses
Spiranthes cernua,nodding ladies' tresses
Spiranthes incurva,Sphinx ladies’ tresses
Spiranthes lacera,Slender Ladies' Tresses
Spiranthes lucida,Shining Ladies' Tresses
Spiranthes ochroleuca,yellow nodding ladies' tresses
Spiranthes romanzoffiana,Hooded Ladies' Tresses
Spiranthes tuberosa,Little Ladies' Tresses
Spiranthes vernalis,Spring Ladies' Tresses
Tipularia discolor,crane-fly orchid
Triphora trianthophoros,three birds orchid
Agalinis decemloba,tenlobe false foxglove
Agalinis maritima,Saltmarsh False Foxglove
Agalinis neoscotica,Nova Scotia False Foxglove
Agalinis purpurea,purple false foxglove
Agalinis tenuifolia,slender false foxglove
Aphyllon uniflorum,one-flowered cancer-root
Aureolaria flava,smooth yellow false foxglove
Aureolaria pedicularia,fern-leaved false foxglove
Aureolaria virginica,downy yellow false foxglove
Castilleja septentrionalis,northern paintbrush
Conopholis americana,American cancer-root
Epifagus virginiana,Beechdrops
Euphrasia nemorosa,Common Eyebright
Euphrasia oakesii,Oakes' Eyebright
Euphrasia stricta,drug eyebright
Melampyrum lineare,narrowleaf cow wheat
Odontites vulgaris,Red Odontites
Pedicularis canadensis,Canadian lousewort
Pedicularis furbishiae,Furbish's Lousewort
Rhinanthus minor,Yellow Rattle
Schwalbea americana,American chaffseed
Osmunda claytoniana,interrupted fern
Osmunda spectabilis,American Royal Fern
Osmundastrum cinnamomeum,cinnamon fern
Oxalis corniculata,Creeping Woodsorrel
Oxalis dillenii,slender yellow woodsorrel
Oxalis montana,mountain woodsorrel
Oxalis stricta,upright yellow woodsorrel
Oxalis triangularis,false shamrock
Oxalis violacea,violet woodsorrel
Paeonia officinalis,common peony
Adlumia fungosa,climbing fumitory
Capnoides sempervirens,rock harlequin
Chelidonium majus,Greater celandine
Corydalis incisa,Incised Fumewort
Corydalis solida,Bird-in-a-bush
Dicentra canadensis,squirrel corn
Dicentra cucullaria,Dutchman's breeches
Dicentra eximia,Fringed Bleeding Heart
Eschscholzia californica,California poppy
Fumaria officinalis,Common Fumitory
Glaucium flavum,Yellow Horned Poppy
Lamprocapnos spectabilis,Asian Bleeding-heart
Macleaya cordata,Plume Poppy
Papaver orientale,Oriental Poppy
Papaver rhoeas,common poppy
Papaver somniferum,opium poppy
Pseudofumaria alba,Pale Corydalis
Pseudofumaria lutea,Yellow Fumitory
Sanguinaria canadensis,bloodroot
Chelidonium diphyllum,Celandine Poppy
Parnassia glauca,fen grass of Parnassus
Paulownia tomentosa,princess tree
Penthorum sedoides,ditch stonecrop
Erythranthe guttata,seep monkeyflower
Erythranthe moschata,musk monkeyflower
Mimulus alatus,sharpwing monkeyflower
Mimulus ringens,Allegheny monkeyflower
Phryma leptostachya,American lopseed
Phytolacca americana,American pokeweed
Abies balsamea,balsam fir
Abies concolor,white fir
Larix decidua,European larch
Larix laricina,tamarack
Picea abies,Norway spruce
Picea glauca,white spruce
Picea mariana,black spruce
Picea rubens,red spruce
Pinus banksiana,Jack pine
Pinus nigra,black pine
Pinus resinosa,red pine
Pinus rigida,pitch pine
Pinus strobus,eastern white pine
Pinus sylvestris,Scots pine
Pinus thunbergii,Japanese black pine
Pseudotsuga menziesii,Douglas-fir
Tsuga canadensis,eastern hemlock
Antirrhinum majus,Snapdragon
Callitriche heterophylla,Large Water-starwort
Callitriche palustris,Narrow-fruited Water-starwort
Callitriche stagnalis,Pond water-starwort
Chaenorhinum minus,dwarf snapdragon
Chelone glabra,white turtlehead
Chelone lyonii,pink turtlehead
Cymbalaria muralis,Ivy-leaved toadflax
Digitalis grandiflora,Yellow Foxglove
Digitalis lanata,Woolly Foxglove
Digitalis lutea,Straw Foxglove
Digitalis purpurea,purple foxglove
Gratiola aurea,golden hedge-hyssop
Gratiola neglecta,clammy hedge-hyssop
Hippuris vulgaris,Common Mare's Tail
Linaria maroccana,Annual Toadflax
Linaria vulgaris,common toadflax
Linaria canadensis,Canada toadflax
Penstemon digitalis,foxglove beardtongue
Penstemon hirsutus,hairy beardtongue
Penstemon pallidus,pale beardtongue
Plantago aristata,bracted plantain
Plantago indica,Branched Plantain
Plantago lanceolata,ribwort plantain
Plantago major,greater plantain
Plantago maritima,Sea Plantain
Plantago rugelii,American plantain
Veronica americana,American brooklime
Veronica anagallis-aquatica,blue water-speedwell
Veronica arvensis,corn speedwell
Veronica chamaedrys,Germander Speedwell
Veronica filiformis,Slender speedwell
Veronica hederifolia,Ivy-leaved Speedwell
Veronica longifolia,Long-leaved Speedwell
Veronica officinalis,heath speedwell
Veronica peregrina,Purslane Speedwell
Veronica persica,bird's-eye speedwell
Veronica scutellata,Marsh Speedwell
Veronica serpyllifolia,thyme-leaved speedwell
Veronica spicata,Spiked Speedwell
Veronica sublobata,Pink Ivy-leaved Speedwell
Veronica teucrium,Broadleaf Speedwell
Veronicastrum virginicum,Culver's root
Platanus occidentalis,American sycamore
Armeria maritima,Sea Thrift
Limonium carolinianum,Carolina Sea Lavender
Agrostis capillaris,colonial bent
Agrostis gigantea,redtop
Agrostis mertensii,Arctic Bentgrass
Agrostis perennans,Perennial Bentgrass
Agrostis scabra,Rough Bentgrass
Aira caryophyllea,Silver Hairgrass
Aira praecox,early hair grass
Alopecurus pratensis,Meadow Foxtail
Anatherum virginicum,broomsedge bluestem
Andropogon gerardi,big bluestem
Anthoxanthum hirtum,northern sweetgrass
Anthoxanthum monticola,Alpine Sweetgrass
Anthoxanthum nitens,bison grass
Anthoxanthum odoratum,sweet vernal grass
Aristida dichotoma,Fork-tip Three-Awn
Aristida longespica,Slim-spike Three-awn Grass
Aristida oligantha,Oldfield Three-awn
Aristida purpurascens,Arrowfeather Threeawn
Arrhenatherum elatius,tall oat grass
Avenella flexuosa,wavy hair-grass
Brachyelytrum aristosum,Northern Shorthusk
Briza media,Quaking-grass
Bromus ciliatus,Fringed Brome
Bromus inermis,Smooth Brome
Bromus tectorum,Cheatgrass
Calamagrostis breviligulata,American marram grass
Calamagrostis canadensis,canadian bluejoint
Calamagrostis epigejos,Bushgrass
Cenchrus alopecuroides,Chinese pennisetum
Cenchrus longispinus,mat sandbur
Chasmanthium latifolium,river oats
Cinna arundinacea,stout wood reed
Cinna latifolia,drooping woodreed
Coleataenia longifolia,Long-leaved Redtop-Panicgrass
Coleataenia rigidula,redtop panicgrass
Dactylis glomerata,orchard grass
Danthonia compressa,Flattened Oatgrass
Danthonia spicata,Poverty oatgrass
Dichanthelium acuminatum,hairy rosette-panicgrass
Dichanthelium boscii,Bosc's Witchgrass
Dichanthelium clandestinum,deertongue
Dichanthelium commutatum,variable witchgrass
Dichanthelium depauperatum,Starved Witchgrass
Dichanthelium dichotomum,forked witchgrass
Dichanthelium latifolium,broad-leaved panic grass
Dichanthelium linearifolium,Slim-leaf Witchgrass
Dichanthelium microcarpon,Small-fruited Witchgrass
Dichanthelium sphaerocarpon,round-fruited rosette-panicgrass
Dichanthelium xanthophysum,Slender Dichanthelium
Digitaria ischaemum,smooth crabgrass
Digitaria sanguinalis,Hairy Crabgrass
Distichlis spicata,Saltgrass
Echinochloa crus-galli,barnyardgrass
Echinochloa muricata,rough barnyard grass
Echinochloa walteri,Walter's barnyard grass
Eleusine indica,Goose Grass
Elymus canadensis,Canada wild rye
Elymus hystrix,bottlebrush grass
Elymus repens,Quack Grass
Elymus riparius,river wild rye
Elymus virginicus,Virginia wildrye
Elymus wiegandii,Wiegand's wild rye
Eragrostis curvula,African love grass
Eragrostis hypnoides,Teal Lovegrass
Eragrostis pectinacea,purple love grass
Eragrostis spectabilis,Purple Lovegrass
Festuca filiformis,Fine-leaved Sheep's-fescue
Festuca myuros,rattail sixweeks grass
Festuca octoflora,sixweeks grass
Festuca ovina,Sheep's Fescue
Glyceria borealis,boreal manna grass
Glyceria canadensis,rattlesnake mannagrass
Glyceria melicaria,Slender Mannagrass
Glyceria obtusa,Blunt Mannagrass
Glyceria striata,Fowl Mannagrass
Greeneochloa coarctata,Nuttall's Reedgrass
Holcus lanatus,Yorkshire fog
Hordeum jubatum,Foxtail Barley
Hordeum vulgare,Common Barley
Kellochloa verrucosa,warty panic grass
Leersia oryzoides,rice cutgrass
Leersia virginica,white grass
Leymus mollis,American lyme grass
Lolium arundinaceum,tall fescue
Lolium multiflorum,Italian Ryegrass
Lolium perenne,Perennial Ryegrass
Lolium ×,NA
Microstegium vimineum,Japanese stiltgrass
Milium effusum,Wood Millet
Miscanthus sinensis,Chinese silver grass
Muhlenbergia glomerata,Marsh Muhly
Muhlenbergia schreberi,nimblewill
Oryzopsis asperifolia,White-grained Mountain-ricegrass
Panicum amarum,Bitter Panicgrass
Panicum capillare,witch grass
Panicum dichotomiflorum,Smooth Witchgrass
Panicum miliaceum,Proso Millet
Panicum virgatum,switchgrass
Paspalum laeve,Field Paspalum
Paspalum setaceum,Thin Paspalum
Patis racemosa,black-fruit mountain-ricegrass
Phalaris arundinacea,reed canary grass
Phleum pratense,Timothy grass
Phragmites australis,common reed
Phyllostachys aureosulcata,Yellow groove bamboo
Piptatheropsis pungens,Mountain Ricegrass
Piptochaetium avenaceum,Blackseed Needlegrass
Poa alsodes,Grove Meadow Grass
Poa annua,Annual Meadow-grass
Poa bulbosa,Bulbous Bluegrass
Poa compressa,Canada bluegrass
Poa palustris,Swamp Meadow-grass
Poa pratensis,Smooth Meadow-grass
Poa saltuensis,drooping bluegrass
Schizachne purpurascens,purple oat
Schizachyrium scoparium,little bluestem
Secale cereale,rye
Setaria faberi,giant foxtail
Setaria parviflora,knotroot bristlegrass
Setaria pumila,yellow foxtail
Setaria viridis,Green Bristle Grass
Sorghastrum nutans,Indiangrass
Sorghum bicolor,Sorghums
Sporobolus alterniflorus,Saltmarsh Cordgrass
Sporobolus cynosuroides,Big Cordgrass
Sporobolus michauxianus,prairie cordgrass
Sporobolus pumilus,Marsh Hay Cordgrass
Torreyochloa pallida,pale false mannagrass
Tridens flavus,purpletop tridens
Tripsacum dactyloides,eastern gamagrass
Triticum aestivum,Bread Wheat
Zea mays,Maize
Zizania aquatica,annual wild rice
Poaceae,NA
Podostemum ceratophyllum,Threadfoot
Gilia tricolor,bird's-eye gilia
Phlox divaricata,blue phlox
Phlox paniculata,fall phlox
Phlox stolonifera,creeping phlox
Phlox subulata,moss phlox
Polemonium caeruleum,Blue Jacob's Ladder
Polemonium reptans,Jacob's ladder
Polemonium vanbruntiae,Bog Jacob's-ladder
Senega officinalis,Seneca snakeroot
Polygaloides paucifolia,fringed polygala
Bistorta officinalis,common bistort
Bistorta vivipara,alpine bistort
Fagopyrum esculentum,Common Buckwheat
Fallopia convolvulus,Black-bindweed
Fallopia scandens,climbing false buckwheat
Oxyria digyna,alpine sorrel
Parogonum ciliinode,fringed black bindweed
Persicaria amphibia,water smartweed
Persicaria arifolia,halberd-leaved tearthumb
Persicaria careyi,Carey's Smartweed
Persicaria extremiorientalis,Far Eastern smartweed
Persicaria filiformis,Asian jumpseed
Persicaria hydropiper,waterpepper
Persicaria hydropiperoides,swamp smartweed
Persicaria lapathifolia,pale smartweed
Persicaria longiseta,low smartweed
Persicaria maculosa,spotted lady's thumb
Persicaria nepalensis,Nepal Persicaria
Persicaria pensylvanica,pinkweed
Persicaria perfoliata,mile-a-minute weed
Persicaria punctata,Dotted Smartweed
Persicaria sagittata,arrow-leaved tearthumb
Persicaria virginiana,American jumpseed
Polygonella articulata,Coastal jointweed
Polygonum aviculare,Prostrate Knotweed
Polygonum glaucum,Sea Knotweed
Polygonum tenue,Slender Knotweed
Reynoutria compacta,Dwarf Knotweed
Reynoutria japonica,Japanese knotweed
Reynoutria sachalinensis,Giant Knotweed
Reynoutria ×,NA
Rheum rhabarbarum,Rhubarb
Rumex acetosa,Common Sorrel
Rumex acetosella,Sheep's sorrel
Rumex britannica,Greater Water Dock
Rumex crispus,curled dock
Rumex obtusifolius,broad-leaved dock
Rumex sanguineus,Wood Dock
Rumex verticillatus,swamp dock
Polypodium appalachianum,Appalachian rockcap fern
Polypodium virginianum,rock polypody
Heteranthera dubia,water star-grass
Pontederia cordata,pickerelweed
Pontederia crassipes,common water hyacinth
Portulaca grandiflora,moss rose
Portulaca oleracea,Common Purslane
Portulaca umbraticola,wingpod purslane
Potamogeton alpinus,Northern Pondweed
Potamogeton amplifolius,Broad-leaved Pondweed
Potamogeton berchtoldii,Berchtold's pondweed
Potamogeton bicupulatus,snailseed pondweed
Potamogeton crispus,Curly-leaf Pondweed
Potamogeton epihydrus,ribbon-leaved pondweed
Potamogeton foliosus,leafy pondweed
Potamogeton gramineus,grass-leaved pondweed
Potamogeton natans,floating-leaved pondweed
Potamogeton nodosus,Longleaf Pondweed
Potamogeton oakesianus,Oakes' Pondweed
Potamogeton obtusifolius,Bluntleaf Pondweed
Potamogeton perfoliatus,Perfoliate Pondweed
Potamogeton praelongus,white-stemmed pondweed
Potamogeton pulcher,Spotted Pondweed
Potamogeton pusillus,small pondweed
Potamogeton richardsonii,Richardson's pondweed
Potamogeton robbinsii,robbins' pondweed
Potamogeton spirillus,Spiral Pondweed
Potamogeton zosteriformis,eel-grass pondweed
Stuckenia pectinata,Fennel-leaf Pondweed
Primula meadia,eastern shooting star
Hottonia inflata,Featherfoil
Lysimachia arvensis,scarlet pimpernel
Lysimachia borealis,northern starflower
Lysimachia ciliata,fringed loosestrife
Lysimachia clethroides,Gooseneck Loosestrife
Lysimachia hybrida,Lowland Loosestrife
Lysimachia lanceolata,Lanceleaf Loosestrife
Lysimachia maritima,Sea Milkwort
Lysimachia nummularia,creeping Jenny
Lysimachia punctata,Dotted Loosestrife
Lysimachia quadrifolia,whorled loosestrife
Lysimachia terrestris,swamp candles
Lysimachia thyrsiflora,Tufted Loosestrife
Lysimachia vulgaris,Yellow Loosestrife
Lysimachia ×,NA
Primula japonica,Japanese Primrose
Primula laurentiana,Laurentian Primrose
Primula mistassinica,Mistassini Primrose
Primula veris,Cowslip
Primula vulgaris,Primrose
Samolus parviflorus,seaside brookweed
Adiantum aleuticum,western maidenhair fern
Adiantum pedatum,northern maidenhair fern
Adiantum ×,NA
Cryptogramma stelleri,Steller's rock-brake
Pellaea atropurpurea,purple-stem cliffbrake
Pellaea glabella,smooth cliffbrake
Aconitum napellus,Monk's-hood
Actaea pachypoda,white baneberry
Actaea racemosa,black cohosh
Actaea rubra,red baneberry
Actaea ×,NA
Anemonastrum canadense,meadow anemone
Anemone coronaria,poppy anemone
Anemone multifida,Cutleaf Anemone
Anemone virginiana,tall thimbleweed
Anemonoides blanda,Greek Anemone
Anemonoides nemorosa,wood anemone
Anemonoides quinquefolia,wood anemone
Anemonoides ranunculoides,Yellow Anemone
Anemonoides sylvestris,Snowdrop Anemone
Aquilegia canadensis,red columbine
Aquilegia vulgaris,common columbine
Caltha palustris,marsh marigold
Clematis occidentalis,Purple Clematis
Clematis terniflora,autumn clematis
Clematis virginiana,virgin's-bower
Coptis trifolia,threeleaf goldthread
Eranthis hyemalis,Winter Aconite
Ficaria verna,lesser celandine
Halerpestes cymbalaria,Alkali Buttercup
Helleborus foetidus,Stinking hellebore
Hepatica acutiloba,sharp-lobed hepatica
Hepatica americana,round-lobed hepatica
Hydrastis canadensis,Goldenseal
Nigella damascena,love-in-a-mist
Ranunculus abortivus,small-flowered buttercup
Ranunculus acris,meadow buttercup
Ranunculus allegheniensis,Allegheny Mountain Buttercup
Ranunculus bulbosus,bulbous buttercup
Ranunculus fascicularis,Early Buttercup
Ranunculus flabellaris,yellow water-crowfoot
Ranunculus flammula,Lesser Spearwort
Ranunculus hispidus,bristly buttercup
Ranunculus micranthus,rock buttercup
Ranunculus pensylvanicus,Bristly Crowfoot
Ranunculus recurvatus,Hooked buttercup
Ranunculus repens,Creeping buttercup
Ranunculus reptans,Creeping Spearwort
Ranunculus sceleratus,cursed crowfoot
Thalictrum dioicum,early meadow-rue
Thalictrum pubescens,tall meadow-rue
Thalictrum revolutum,Waxy Meadow-rue
Thalictrum thalictroides,rue anemone
Xanthorhiza simplicissima,Shrub Yellowroot
Ceanothus americanus,New Jersey tea
Frangula alnus,alder buckthorn
Rhamnus cathartica,common buckthorn
Rhamnaceae,NA
Agrimonia gryposepala,tall hairy agrimony
Agrimonia striata,roadside agrimony
Alchemilla mollis,Garden Lady's-mantle
Amelanchier arborea,common serviceberry
Amelanchier bartramiana,Bartram Shadbush
Amelanchier canadensis,Canadian serviceberry
Amelanchier laevis,smooth shadbush
Amelanchier nantucketensis,Nantucket Shadbush
Amelanchier stolonifera,Running Serviceberry
Amelanchier ×,NA
Alchemilla australis,Slender parsley-piert
Argentina anserina,common silverweed
Aronia arbutifolia,red chokeberry
Aronia melanocarpa,black chokeberry
Aronia ×,NA
Aruncus dioicus,Goatsbeard
Chaenomeles japonica,Japanese Quince
Chaenomeles speciosa,Chinese quince
Comarum palustre,marsh cinquefoil
Cotoneaster divaricatus,Spreading Cotoneaster
Crataegus chrysocarpa,fireberry hawthorn
Crataegus coccinioides,Large-flowered Cockspurthorn
Crataegus crus-galli,cockspur hawthorn
Crataegus flabellata,Fanleaf Hawthorn
Crataegus irrasa,Blanchard's Hawthorn
Crataegus macracantha,Large-thorn hawthorn
Crataegus macrosperma,Big-fruit Hawthorn
Crataegus marshallii,parsley hawthorn
Crataegus monogyna,common hawthorn
Crataegus phaenopyrum,Washington hawthorn
Crataegus pisifera,NA
Crataegus pruinosa,waxy-fruited hawthorn
Crataegus punctata,dotted hawthorn
Crataegus stonei,Stone's Hawthorn
Rubus dalibarda,dewdrop
Dasiphora fruticosa,shrubby cinquefoil
Drymocallis arguta,Tall Cinquefoil
Filipendula rubra,queen of the prairie
Filipendula ulmaria,Meadowsweet
Filipendula vulgaris,Dropwort
Fragaria vesca,woodland strawberry
Fragaria virginiana,Virginia strawberry
Fragaria ×,NA
Geum aleppicum,Yellow Avens
Geum canadense,white avens
Geum laciniatum,rough avens
Geum macrophyllum,Large-leaved Avens
Geum peckii,Eastern Mountain Avens
Geum rivale,Water Avens
Geum urbanum,Wood Avens
Waldsteinia fragarioides,Appalachian barren-strawberry
Waldsteinia ternata,Siberian barren strawberry
Gillenia trifoliata,Bowman's root
Kerria japonica,Japanese Kerria
Malus baccata,Siberian crabapple
Malus domestica,apple
Malus prunifolia,Pear-leaf Crabapple
Malus sylvestris,European Wild Apple
Malus toringo,Toringo Crabapple
Neillia incisa,Laceshrub
Physocarpus opulifolius,common ninebark
Potentilla argentea,Silvery Cinquefoil
Potentilla canadensis,dwarf cinquefoil
Potentilla hebiichigo,Lesser Mock-strawberry
Potentilla indica,mock strawberry
Potentilla norvegica,rough cinquefoil
Potentilla recta,sulphur cinquefoil
Potentilla robbinsiana,Dwarf Mountain Cinquefoil
Potentilla simplex,common cinquefoil
Pourthiaea villosa,Christmas berry
Prunus americana,American plum
Prunus avium,wild cherry
Prunus cerasifera,Cherry-plum
Prunus domestica,Plum
Prunus maritima,Beach Plum
Prunus nigra,Canada plum
Prunus padus,bird cherry
Prunus pensylvanica,fire cherry
Prunus persica,Peach
Prunus pumila,sand cherry
Prunus serotina,black cherry
Prunus spinosa,Blackthorn
Prunus susquehanae,Susquehana Sandcherry
Prunus virginiana,chokecherry
Prunus ×,NA
Pyrus calleryana,Callery pear
Pyrus communis,Common Pear
Rhodotypos scandens,jetbead
Rosa blanda,smooth rose
Rosa canina,Dog-rose
Rosa carolina,Carolina rose
Rosa cinnamomea,Cinnamon Rose
Rosa lucieae,Memorial Rose
Rosa multiflora,multiflora rose
Rosa nitida,Shining Rose
Rosa palustris,swamp rose
Rosa rugosa,rugosa rose
Rosa sherardii,Sherard's Downy-rose
Rosa virginiana,Virginian Rose
Rubus allegheniensis,Allegheny blackberry
Rubus alumnus,Old Field Blackberry
Rubus canadensis,Smooth Blackberry
Rubus chamaemorus,cloudberry
Rubus cuneifolius,sand blackberry
Rubus flagellaris,Common Dewberry
Rubus hispidus,swamp dewberry
Rubus idaeus,red raspberry
Rubus laciniatus,Cutleaf Blackberry
Rubus occidentalis,black raspberry
Rubus odoratus,purple-flowered raspberry
Rubus phoenicolasius,wineberry
Rubus pubescens,dwarf raspberry
Rubus rosa,rose blackberry
Rubus vermontanus,Green Mountain Blackberry
Rubus ×,NA
Sanguisorba canadensis,Canadian burnet
Sibbaldiopsis tridentata,three-toothed cinquefoil
Sorbaria sorbifolia,Sorbaria
Sorbus americana,American mountain ash
Sorbus aucuparia,European mountain ash
Sorbus decora,showy mountain-ash
Spiraea alba,white meadowsweet
Spiraea japonica,Japanese Spirea
Spiraea prunifolia,Bridal-wreath
Spiraea tomentosa,Steeplebush
Spiraea ×,NA
Cephalanthus occidentalis,buttonbush
Galium album,white bedstraw
Galium aparine,catchweed bedstraw
Galium asprellum,rough bedstraw
Galium boreale,Northern Bedstraw
Galium circaezans,licorice bedstraw
Galium kamtschaticum,Boreal Bedstraw
Galium lanceolatum,Torrey's Wild Licorice
Galium mollugo,Hedge Bedstraw
Galium odoratum,Sweet Woodruff
Galium palustre,Common Marsh-bedstraw
Galium pilosum,Hairy bedstraw
Galium tinctorium,Stiff Marsh Bedstraw
Galium trifidum,three-petal bedstraw
Galium triflorum,fragrant bedstraw
Galium verum,Lady's Bedstraw
Hexasepalum teres,rough buttonweed
Houstonia caerulea,azure bluet
Houstonia longifolia,long-leaved bluets
Houstonia pusilla,tiny bluet
Mitchella repens,partridgeberry
Sherardia arvensis,Field madder
Ruppia maritima,widgeongrass
Citrus trifoliata,trifoliate orange
Phellodendron amurense,Amur Corktree
Ptelea trifoliata,common hoptree
Ruta graveolens,Rue
Tetradium daniellii,Korean Euodia
Zanthoxylum americanum,northern prickly ash
Populus alba,white poplar
Populus balsamifera,balsam poplar
Populus deltoides,Eastern Cottonwood
Populus grandidentata,bigtooth aspen
Populus heterophylla,Swamp Cottonwood
Populus nigra,Black Poplar
Populus tremuloides,quaking aspen
Populus ×,NA
Salix alba,white willow
Salix argyrocarpa,Labrador willow
Salix atrocinerea,Rusty Willow
Salix babylonica,weeping willow
Salix bebbiana,bebb's willow
Salix candida,Sage-leaf willow
Salix cinerea,Grey Willow
Salix discolor,pussy willow
Salix eriocephala,heart-leaved willow
Salix fragilis,NA
Salix herbacea,Least Willow
Salix humilis,Prairie Willow
Salix integra,dappled willow
Salix interior,interior sandbar willow
Salix lucida,shining willow
Salix myricoides,Blueleaf Willow
Salix nigra,black willow
Salix pedicellaris,bog willow
Salix pellita,Satiny willow
Salix petiolaris,meadow willow
Salix planifolia,tea-leafed willow
Salix purpurea,Purple Willow
Salix pyrifolia,Balsam Willow
Salix sericea,silky willow
Salix uva-ursi,bearberry willow
Salix ×,NA
Azolla caroliniana,eastern mosquito fern
Acer campestre,field maple
Acer ginnala,Amur Maple
Acer negundo,box elder
Acer nigrum,black maple
Acer palmatum,Japanese maple
Acer pensylvanicum,striped maple
Acer platanoides,Norway maple
Acer pseudoplatanus,sycamore maple
Acer rubrum,red maple
Acer saccharinum,silver maple
Acer saccharum,sugar maple
Acer spicatum,Mountain Maple
Acer ×,NA
Aesculus hippocastanum,horse-chestnut
Aesculus parviflora,bottlebrush buckeye
Aesculus pavia,Red Buckeye
Koelreuteria paniculata,golden rain tree
Sarracenia purpurea,purple pitcher plant
Houttuynia cordata,Chameleon Plant
Saururus cernuus,lizard's tail
Chrysosplenium americanum,American golden saxifrage
Micranthes pensylvanica,Swamp Saxifrage
Micranthes virginiensis,Virginia saxifrage
Mitella diphylla,twoleaf miterwort
Mitella nuda,naked bishop's cap
Rodgersia podophylla,Japanese rodgersia
Saxifraga aizoides,Yellow Saxifrage
Saxifraga oppositifolia,Purple Saxifrage
Saxifraga rivularis,Highland Saxifrage
Tiarella stolonifera,Creeping Foamflower
Scheuchzeria palustris,rannoch-rush
Buddleja davidii,Butterfly bush
Limosella australis,delta mudwort
Scrophularia lanceolata,lanceleaf figwort
Scrophularia marilandica,late figwort
Scrophularia nodosa,Common Figwort
Verbascum blattaria,moth mullein
Verbascum densiflorum,Dense-flowered Mullein
Verbascum nigrum,Dark Mullein
Verbascum phlomoides,Orange Mullein
Verbascum thapsus,great mullein
Selaginella apoda,meadow spikemoss
Selaginella rupestris,rock spikemoss
Ailanthus altissima,tree-of-heaven
Smilax glauca,sawbrier
Smilax herbacea,smooth carrionflower
Smilax rotundifolia,roundleaf greenbrier
Alkekengi officinarum,Japanese-lantern
Datura innoxia,downy thorn-apple
Datura metel,metel devil's trumpet
Datura stramonium,jimsonweed
Datura wrightii,Sacred Datura
Nicandra physalodes,apple-of-Peru
Petunia ×,NA
Physalis grisea,Strawberry Groundcherry
Physalis heterophylla,clammy groundcherry
Physalis longifolia,long-leaved groundcherry
Physalis peruviana,Cape gooseberry
Physalis philadelphica,Large-flowered Tomatillo
Solanum carolinense,Carolina horsenettle
Solanum dulcamara,bittersweet nightshade
Solanum emulans,eastern black nightshade
Solanum lycopersicum,tomato
Solanum nigrum,black nightshade
Solanum nitidibaccatum,Green Nightshade
Solanum rostratum,buffalo-bur
Solanum sarrachoides,Hairy Nightshade
Solanum tuberosum,potato
Staphylea trifolia,American bladdernut
Halesia carolina,Carolina Silverbell
Styrax japonicus,Japanese snowbell
Symplocos paniculata,sapphire-berry
Taxus baccata,common yew
Taxus canadensis,Canada yew
Taxus cuspidata,Japanese yew
Amauropelta noveboracensis,New York fern
Coryphopteris simulata,Massachusetts fern
Phegopteris connectilis,long beech fern
Phegopteris excelsior,Tall Beech Fern
Phegopteris hexagonoptera,broad beech fern
Thelypteris palustris,marsh fern
Daphne mezereum,Mezereon
Dirca palustris,eastern leatherwood
Triantha glutinosa,Sticky False Asphodel
Tropaeolum majus,garden nasturtium
Sparganium americanum,American bur-reed
Sparganium angustifolium,Narrow-leaved Bur-reed
Sparganium emersum,unbranched bur-reed
Sparganium eurycarpum,big bur-reed
Sparganium fluctuans,Floating Bur-reed
Typha angustifolia,narrow-leaved cattail
Typha latifolia,broadleaf cattail
Typha ×,NA
Ulmus americana,American elm
Ulmus pumila,Siberian elm
Ulmus rubra,slippery elm
Zelkova serrata,Japanese zelkova
Boehmeria cylindrica,false nettle
Laportea canadensis,wood nettle
Parietaria pensylvanica,Pennsylvania pellitory
Pilea fontana,springs clearweed
Pilea pumila,Canada clearweed
Urtica dioica,great stinging nettle
Urtica gracilis,slender stinging nettle
Verbena bonariensis,purpletop vervain
Verbena bracteata,Bigbract Verbena
Verbena hastata,blue vervain
Verbena stricta,hoary vervain
Verbena urticifolia,white vervain
Sambucus canadensis,American black elderberry
Sambucus racemosa,red-berried elder
Viburnum acerifolium,mapleleaf viburnum
